Epoch,Accuracy_Top-1
1,35.29412
2,50.0
3,54.70588
4,51.76471
5,54.70588
6,54.70588
7,57.05882
8,68.82353
9,57.64706
10,59.41176
11,44.70588
12,62.94118
13,73.52941
14,68.23529
15,70.0
16,78.23529
17,78.23529
18,70.58824
19,77.64706
20,77.05882
21,79.41176
22,77.64706
23,82.94118
24,84.70588
25,77.05882
26,83.52941
27,78.82353
28,85.29412
29,77.64706
30,85.29412
31,82.94118
32,84.11765
33,82.35294
34,87.05882
35,85.29412
36,89.41176
37,86.47059
38,88.23529
39,86.47059
40,82.35294
41,89.41176
42,90.58824
43,85.88235
44,86.47059
45,89.41176
46,90.58824
47,90.0
48,90.0
49,90.58824
50,90.0
51,90.0
52,90.0
53,92.35294
54,80.0
55,84.70588
56,91.17647
57,93.52941
58,95.29412
59,90.58824
60,92.94118
61,88.23529
62,90.0
63,91.17647
64,91.76471
65,95.88235
66,92.35294
67,91.76471
68,92.35294
69,90.0
70,93.52941
71,93.52941
72,94.70588
73,92.94118
74,94.11765
75,96.47059
76,91.76471
77,91.17647
78,92.35294
79,91.76471
80,96.47059
81,92.35294
82,90.58824
83,93.52941
84,92.35294
85,91.17647
86,94.11765
87,94.11765
88,96.47059
89,90.58824
90,97.64706
91,93.52941
92,93.52941
93,92.35294
94,95.29412
95,93.52941
96,94.70588
97,98.23529
98,97.05882
99,98.82353
100,92.94118
101,97.64706
102,98.23529
103,98.23529
104,98.82353
105,97.64706
106,97.64706
107,98.82353
108,98.82353
109,98.82353
110,97.64706
111,98.23529
112,98.82353
113,98.82353
114,99.41176
115,99.41176
116,98.23529
117,98.82353
118,98.82353
119,98.82353
120,99.41176
121,98.82353
122,98.23529
123,98.82353
124,99.41176
125,98.82353
126,99.41176
127,99.41176
128,99.41176
129,98.82353
130,99.41176
131,99.41176
132,99.41176
133,98.23529
134,99.41176
135,98.82353
136,99.41176
137,98.82353
138,98.82353
139,99.41176
140,98.82353
141,99.41176
142,99.41176
143,99.41176
144,99.41176
145,99.41176
146,99.41176
147,99.41176
148,99.41176
149,99.41176
150,98.82353
151,98.82353
152,99.41176
153,99.41176
154,98.82353
155,99.41176
156,99.41176
157,99.41176
158,99.41176
159,99.41176
160,99.41176
161,99.41176
162,99.41176
163,99.41176
164,99.41176
165,99.41176
166,100.0
167,99.41176
168,99.41176
169,98.82353
170,99.41176
171,99.41176
172,99.41176
173,99.41176
174,99.41176
175,99.41176
176,100.0
177,99.41176
178,99.41176
179,100.0
180,99.41176
181,99.41176
182,99.41176
183,99.41176
184,99.41176
185,99.41176
186,99.41176
187,99.41176
188,99.41176
189,99.41176
190,99.41176
191,100.0
192,99.41176
193,99.41176
194,99.41176
195,99.41176
196,99.41176
197,99.41176
198,99.41176
199,99.41176
200,99.41176
